# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
xia ci 	瑕疵	c=2 d=1 t=159166
xia dan 	下單	c=15 d=1.50158 t=198862
xia dao 	嚇到	c=2 d=1 t=145292
xia de 	嚇得	c=1 d=1 t=159786
xia dian 	下點	c=1 d=1 t=115924
xia fang 	下方	c=4 d=1 t=190189
xia gao 	瞎搞	c=3 d=1 t=198389
xia ge 	下個	c=5 d=1 t=162259
xia ge yue 	下個月	c=4 d=1 t=139459
xia guang 	瞎逛	c=4 d=1 t=191706
xia guo 	下過	c=2 d=1 t=34664
xia huai 	嚇壞	c=1 d=1 t=198406
xia hui 	下回	c=1 d=1 t=175097
xia ji 	下級	c=2 d=1.99005 t=78819
xia ji 	夏季	c=1 d=1 t=41426
xia jia 	下架	c=2 d=1.94176 t=18539
xia jiang 	下降	c=44 d=1 t=204266
xia jiang dao 	下降到	c=1 d=1 t=123841
xia jiang de 	下降的	c=1 d=1 t=187264
xia jiang fa 	下降法	c=5 d=1.10033 t=192049
xia jiang qi 	下降期	c=1 d=1 t=15624
xia jiao 	下角	c=1 d=1 t=49943
xia jie 	下界	c=1 d=1 t=25605
xia ke 	下課	c=1 d=1 t=134700
xia lai 	下來	c=43 d=1.00004 t=185094
xia man 	夏縵	c=1 d=1 t=114411
xia mang 	瞎忙	c=1 d=1 t=139762
xia men 	廈門	c=2 d=1.93239 t=158212
xia mian 	下面	c=130 d=1.37719 t=206060
xia mian de 	下面的	c=2 d=1 t=201445
xia mian zhe ge 	下面這個	c=1 d=1 t=192497
xia po lu 	下坡路	c=1 d=1 t=16166
xia pu 	呷哺	c=1 d=1 t=10967
xia qi 	下棋	c=3 d=1.97531 t=160792
xia qu 	下去	c=26 d=1.00003 t=195161
xia ri 	夏日	c=1 d=1 t=198847
xia shou 	下手	c=1 d=1 t=174208
xia tian 	夏天	c=1 d=1 t=159698
xia tu 	下圖	c=10 d=1 t=83884
xia wan 	下完	c=3 d=1 t=195365
xia wen 	下問	c=2 d=1.94176 t=119469
xia wo 	嚇我	c=1 d=1 t=95894
xia wu 	下午	c=177 d=1.01216 t=206083
xia wu chi 	下午吃	c=1 d=1 t=199105
xia wu gao 	下午搞	c=1 d=1 t=63650
xia wu hao 	下午好	c=1 d=1 t=140206
xia xia zhou 	下下週	c=1 d=1 t=178981
xia xian 	下線	c=5 d=1 t=194913
xia xue 	下雪	c=4 d=1 t=195248
xia yi 	下一	c=3 d=1 t=163511
xia yi bu 	下一步	c=8 d=1.13876 t=85273
xia yi ci 	下一次	c=1 d=1 t=156487
xia yi fen 	下一份	c=2 d=1 t=118339
xia yi ge 	下一個	c=22 d=1 t=194385
xia yi hang 	下一行	c=1 d=1 t=84879
xia yi ji 	下一季	c=1 d=1 t=82046
xia yi ju 	下一句	c=1 d=1 t=179516
xia yi miao 	下一秒	c=1 d=1 t=46593
xia yi nian 	下一年	c=1 d=1 t=170121
xia yi zhou 	下一週	c=1 d=1 t=76584
xia you 	下游	c=6 d=1 t=205373
xia yu 	下雨	c=5 d=1 t=206110
xia yu tian 	下雨天	c=2 d=1 t=144326
xia zai 	下在	c=1 d=1 t=160413
xia zai 	下載	c=85 d=1 t=206651
xia zai dao 	下載到	c=1 d=1 t=47028
xia zhi hui 	瞎指揮	c=1 d=1 t=190313
xia zhou 	下週	c=58 d=0.1 t=198102
xia zhou er 	下週二	c=5 d=1 t=164063
xia zhou san 	下週三	c=2 d=1 t=29051
xia zhou shen me 	下週什麼	c=1 d=1 t=198103
xia zhou si 	下週四	c=3 d=1.13946 t=57163
xia zhou yi 	下週一	c=4 d=1 t=82001
xia zou 	嚇走	c=2 d=1 t=38090
xian 	仙	c=1 d=1 t=68594
xian 	先	c=163 d=1 t=206496
xian 	嫌	c=1 d=1 t=35338
xian 	弦	c=3 d=1.99005 t=25172
xian 	獻	c=2 d=1.97531 t=194550
xian 	線	c=57 d=1.00033 t=206676
xian 	縣	c=5 d=1 t=195104
xian 	閒	c=8 d=1 t=191810
xian 	限	c=2 d=1 t=135852
xian 	險	c=1 d=1 t=28657
xian 	鮮	c=3 d=1 t=143400
xian 	鹹	c=2 d=1.95123 t=185624
xian an 	先按	c=1 d=1 t=114127
xian ba 	先把	c=8 d=1 t=201927
xian chang 	現場	c=4 d=1.02816 t=143100
xian cheng 	現成	c=8 d=1 t=164254
xian cheng 	線程	c=21 d=1 t=198957
xian cheng 	縣城	c=1 d=1 t=195115
xian cheng de 	現成的	c=4 d=1.15336 t=199333
xian chou 	獻醜	c=1 d=1 t=42165
xian ci 	獻詞	c=1 d=1 t=144621
xian cong 	先從	c=1 d=1 t=187391
xian cun 	顯存	c=3 d=2.80175 t=147588
xian dai 	現代	c=1 d=1 t=99737
xian dao 	先到	c=3 d=1 t=96792
xian de 	先得	c=1 d=1 t=51067
xian de 	顯得	c=5 d=1 t=149253
xian de dao 	先得到	c=1 d=1 t=195186
xian ding 	限定	c=1 d=1 t=94421
xian du 	限度	c=1 d=1 t=153692
xian duan 	線段	c=1 d=1 t=46462
xian feng 	先鋒	c=2 d=1 t=94855
xian gao 	先搞	c=1 d=1 t=170960
xian gei 	先給	c=1 d=1 t=12289
xian guang 	閒逛	c=5 d=1 t=161920
xian guo 	先過	c=1 d=1 t=191324
xian hou 	先後	c=3 d=1 t=100195
xian ji 	獻祭	c=1 d=1 t=159630
xian jiang 	先將	c=1 d=1 t=187634
xian jie duan 	現階段	c=1 d=1 t=195870
xian jie jue 	先解決	c=1 d=1 t=197571
xian jin 	現金	c=3 d=1 t=122566
xian jing 	陷阱	c=8 d=1 t=175683
xian jue 	先決	c=1 d=1 t=169080
xian ka 	顯卡	c=4 d=2.01277 t=158316
xian kan 	先看	c=3 d=1 t=202895
xian kan yi xia 	先看一下	c=1 d=1 t=165025
xian lai 	先來	c=1 d=1 t=182366
xian liu 	限流	c=3 d=2.95084 t=200175
xian mian 	限免	c=1 d=1 t=99900
xian mu 	羨慕	c=8 d=1 t=146186
xian pao 	先跑	c=1 d=1 t=116597
xian qi 	掀起	c=1 d=1 t=179446
xian qian 	先前	c=1 d=1 t=9926
xian qu 	先去	c=4 d=1 t=113879
xian qu 	先取	c=2 d=1 t=108781
xian ran 	顯然	c=6 d=1.9802 t=174676
xian ren 	閒人	c=1 d=1 t=21276
xian ru 	陷入	c=6 d=1 t=192076
xian shang 	弦上	c=1 d=1 t=24798
xian shang 	線上	c=279 d=1.00617 t=203476
xian shang de 	線上的	c=3 d=1.7827 t=189333
xian shang dui bi de 	線上對比的	c=1 d=1 t=196948
xian shang hui 	線上會	c=1 d=1 t=137188
xian shang mei you 	線上沒有	c=1 d=1 t=150214
xian shang qu 	線上去	c=2 d=1 t=160683
xian shang wu fa 	線上無法	c=1 d=1 t=135427
xian shang ya li xiao 	線上壓力小	c=1 d=1 t=142228
xian sheng 	先生	c=2 d=1 t=101985
xian shi 	現實	c=23 d=1.02045 t=196420
xian shi 	顯示	c=45 d=1.00007 t=202934
xian shi de 	現實的	c=2 d=1 t=198070
xian shi qi 	顯示器	c=21 d=1.97531 t=197034
xian shi zhong 	現實中	c=9 d=1.71177 t=202457
xian shuo 	先說	c=1 d=1 t=27865
xian su 	限速	c=2 d=1 t=132311
xian suo 	線索	c=2 d=1 t=148827
xian ti xi 	線體系	c=41 d=1.00233 t=180777
xian wen 	先問	c=2 d=1 t=193589
xian xia 	線下	c=27 d=1.00002 t=198653
xian xia de 	線下的	c=1 d=1 t=189329
xian xia qu 	先下去	c=1 d=1 t=90776
xian xiang 	現象	c=9 d=1.94176 t=201820
xian xin 	閒心	c=1 d=1 t=140742
xian xing 	線性	c=64 d=1 t=199959
xian xing de 	線性的	c=1 d=1 t=159917
xian xing hui gui 	線性回歸	c=1 d=1 t=96778
xian xing mo xing 	線性模型	c=1 d=1 t=137219
xian ya dan 	鹹鴨蛋	c=1 d=1 t=114645
xian yan 	先驗	c=3 d=1 t=199008
xian yang 	咸陽	c=5 d=2.2019 t=200324
xian yao 	先要	c=1 d=1 t=120784
xian yi 	嫌疑	c=1 d=1 t=182602
xian yi 	現役	c=1 d=1 t=139249
xian yong 	先用	c=2 d=1 t=131193
xian you 	現有	c=5 d=1 t=199912
xian yu 	鹹魚	c=4 d=1 t=87391
xian zai 	先在	c=3 d=1 t=174529
xian zai 	現在	c=526 d=1.80788 t=206483
xian zai de 	現在的	c=1 d=1 t=195086
xian zai ma 	現在嗎	c=1 d=1 t=146771
xian zai mi mang de 	現在迷茫的	c=1 d=1 t=198260
xian zai shi 	現在是	c=1 d=1 t=115850
xian zhi 	閒置	c=1 d=1 t=119991
xian zhi 	限制	c=45 d=0.1 t=205142
xian zhi ba 	限制吧	c=1 d=1 t=205143
xian zhu 	顯著	c=2 d=1 t=202672
xian zhu xing 	顯著性	c=6 d=1 t=103694
xian zhuang 	現狀	c=8 d=1 t=200193
xian zou 	先走	c=1 d=1 t=186010
xiang 	享	c=5 d=1 t=89977
xiang 	像	c=31 d=1.00013 t=206327
xiang 	向	c=18 d=1.53526 t=138922
xiang 	廂	c=2 d=1 t=45764
xiang 	想	c=292 d=2.31962 t=206444
xiang 	相	c=12 d=0.960708 t=164258
xiang 	祥	c=1 d=1 t=95876
xiang 	箱	c=5 d=1 t=138111
xiang 	翔	c=10 d=1 t=164917
xiang 	象	c=2 d=1 t=131881
xiang 	鄉	c=1 d=1 t=43808
xiang 	響	c=1 d=1 t=149818
xiang 	項	c=50 d=1.03371 t=203564
xiang 	香	c=23 d=1.53794 t=205730
xiang ba 	想把	c=1 d=1 t=151712
xiang ban fa 	想辦法	c=3 d=1 t=180173
xiang bi 	想必	c=1 d=1 t=87782
xiang bi 	相比	c=10 d=0.1 t=200654
xiang bi yu 	相比與	c=1 d=1 t=200655
xiang bu dao 	想不到	c=3 d=1 t=160684
xiang bu xiang 	想不想	c=1 d=1 t=126485
xiang ce 	相冊	c=1 d=1 t=6982
xiang cha 	相差	c=3 d=1.0567 t=84212
xiang chang 	香腸	c=2 d=1.04929 t=115999
xiang chao 	想抄	c=1 d=1 t=159496
xiang cheng 	相乘	c=13 d=1 t=134955
xiang chi 	相斥	c=1 d=1 t=155621
xiang chu 	想出	c=2 d=1 t=192971
xiang chu 	相處	c=1 d=1 t=26531
xiang chuan 	相傳	c=0 d=0.1 t=85191
xiang chuan de 	相傳的	c=1 d=1 t=85192
xiang cun 	鄉村	c=3 d=2.15664 t=139606
xiang cuo 	想錯	c=1 d=1 t=201971
xiang dang 	相當	c=3 d=1 t=203558
xiang dang ran 	想當然	c=1 d=1 t=120101
xiang dang yu 	相當於	c=60 d=1 t=199037
xiang dao 	想到	c=33 d=1 t=206438
xiang dao de 	想到的	c=1 d=1 t=199767
xiang de 	想得	c=7 d=1 t=196057
xiang deng 	相等	c=3 d=1 t=188697
xiang dui 	相對	c=9 d=1 t=172126
xiang dui ying 	相對應	c=1 d=1 t=75507
xiang dui yu 	相對於	c=6 d=1 t=193855
xiang fa 	想法	c=71 d=1.68386 t=206461
xiang fan 	相反	c=3 d=1 t=155487
xiang gan 	相干	c=2 d=1 t=159858
xiang gan shen me 	想幹什麼	c=1 d=1 t=143816
xiang gang 	香港	c=12 d=1.99508 t=106196
xiang gao 	相告	c=1 d=1 t=146980
xiang guan 	相關	c=341 d=1.49659 t=205613
xiang guan de 	相關的	c=19 d=1 t=205633
xiang guan xing 	相關性	c=5 d=1 t=202381
xiang guo 	想過	c=7 d=1 t=190665
xiang hao 	想好	c=2 d=1 t=160038
xiang hu 	相互	c=25 d=1.8825 t=186436
xiang jia 	相加	c=15 d=1 t=190416
xiang jian 	相減	c=1 d=1 t=88435
xiang jiao 	相交	c=1 d=1 t=204293
xiang jin 	想盡	c=1 d=1 t=88813
xiang jin 	相近	c=7 d=1 t=168770
xiang ju 	相聚	c=1 d=1 t=151397
xiang kan 	想看	c=4 d=1 t=155906
xiang kou 	相扣	c=1 d=1 t=119601
xiang ku 	想哭	c=2 d=1 t=156856
xiang lai 	想來	c=1 d=0.00527382 t=4073
xiang lian 	相連	c=1 d=1 t=144652
xiang liang 	向量	c=76 d=1.00014 t=196206
xiang liao 	香料	c=2 d=1.19301 t=139507
xiang lin 	相鄰	c=2 d=1 t=153296
xiang ling 	響鈴	c=4 d=1.1972 t=67910
xiang mai 	想買	c=3 d=1 t=157167
xiang ming bai 	想明白	c=1 d=1 t=160630
xiang mu 	項目	c=170 d=1 t=203440
xiang mu san 	項目三	c=1 d=0.25924 t=4073
xiang mu zhong 	項目中	c=2 d=1 t=75396
xiang qi 	想起	c=14 d=1.00055 t=206520
xiang qi 	象棋	c=3 d=2.39665 t=160825
xiang qi lai 	想起來	c=15 d=1.01906 t=193922
xiang qi wo 	想起我	c=1 d=1 t=140046
xiang qi yi ge 	想起一個	c=1 d=1 t=60134
xiang qian 	向前	c=1 d=1 t=105910
xiang qie 	相切	c=1 d=1 t=204276
xiang qu 	想去	c=12 d=1.9802 t=197962
xiang rong 	相容	c=2 d=1.85214 t=168760
xiang run ye 	項閏冶	c=125 d=1.00052 t=200216
xiang shan 	向善	c=1 d=1 t=93247
xiang shang 	向上	c=3 d=1 t=168968
xiang sheng 	相聲	c=3 d=1.66309 t=95882
xiang shi 	像是	c=15 d=1 t=184449
xiang shou 	享受	c=9 d=1 t=168399
xiang shuai 	香帥	c=1 d=1 t=87771
xiang si 	相似	c=14 d=1 t=202407
xiang si dian 	相似點	c=1 d=1 t=10543
xiang si du 	相似度	c=8 d=1 t=166908
xiang tong 	相同	c=70 d=1 t=204172
xiang tong 	相通	c=1 d=1 t=96003
xiang tong de 	相同地	c=3 d=1 t=200603
xiang tou 	相投	c=1 d=1 t=177888
xiang wen 	想問	c=6 d=1 t=149393
xiang wen de 	想問的	c=1 d=1 t=45224
xiang wen yi xia 	相問一下	c=1 d=1 t=164259
xiang wo 	像我	c=1 d=1 t=15644
xiang wo 	想我	c=1 d=1 t=121349
xiang xi 	詳細	c=14 d=1 t=204392
xiang xia 	向下	c=3 d=1 t=78155
xiang xian 	象限	c=1 d=1 t=80883
xiang xiang 	想想	c=25 d=1 t=169815
xiang xiang 	想象	c=6 d=1 t=175773
xiang xiang li 	想象力	c=4 d=1 t=116970
xiang xiang zhong 	想象中	c=1 d=1 t=203145
xiang xiang zhong de 	想象中的	c=0 d=0.1 t=159155
xiang xie 	想寫	c=3 d=1 t=135609
xiang xin 	相信	c=16 d=1 t=178504
xiang yao 	想要	c=48 d=1.25667 t=206658
xiang yao dian 	想要點	c=1 d=1 t=203978
xiang yao jia 	想要加	c=1 d=1 t=199342
xiang yao pao 	想要跑	c=1 d=1 t=83332
xiang yao qu 	想要去	c=1 d=1 t=195114
xiang yi xia 	想一下	c=2 d=1 t=206626
xiang yi xiang 	想一想	c=7 d=1 t=175592
xiang ying 	相應	c=4 d=1 t=168979
xiang ying 	響應	c=4 d=1.40792 t=202413
xiang yong 	想用	c=2 d=1.99501 t=6331
xiang yu 	相遇	c=1 d=0.1 t=169662
xiang yu de 	相遇的	c=1 d=1 t=169663
xiang yuan 	襄垣	c=0 d=0.1 t=21420
xiang yuan ye 	襄垣也	c=1 d=1 t=21421
xiang zai 	想在	c=1 d=1 t=148267
xiang zhe 	想着	c=11 d=1 t=206474
xiang zheng 	象徵	c=1 d=1 t=148067
xiang zheng li 	想整理	c=1 d=1 t=176787
xiang zhu 	相助	c=1 d=1 t=122790
xiang zi 	箱子	c=1 d=1 t=94767
xiang zou 	想走	c=1 d=1 t=118314
xiang zuo 	想做	c=5 d=1 t=177930
xiang zuo de 	想做的	c=2 d=1 t=154837
xiao 	嘯	c=4 d=1 t=68181
xiao 	孝	c=1 d=1 t=167098
xiao 	小	c=209 d=1.98267 t=206655
xiao 	效	c=2 d=1 t=168988
xiao 	曉	c=29 d=1.98511 t=205251
xiao 	校	c=15 d=1 t=198497
xiao 	消	c=1 d=1 t=60719
xiao 	瀟	c=2 d=1 t=191666
xiao 	笑	c=5 d=1 t=142540
xiao 	肖	c=2 d=1 t=82120
xiao 	霄	c=7 d=1 t=204537
xiao bai 	小白	c=1 d=1 t=115909
xiao bian 	小編	c=1 d=1 t=194614
xiao bing 	小冰	c=1 d=1 t=34178
xiao bu 	小步	c=1 d=1 t=172148
xiao cheng shi 	小城市	c=1 d=1 t=195707
xiao cheng xu 	小程序	c=2 d=1.84366 t=55502
xiao chou 	小丑	c=5 d=1.00011 t=71345
xiao chu 	消除	c=4 d=1 t=151295
xiao cun 	曉村	c=5 d=3.66175 t=139542
xiao dao 	小島	c=4 d=1 t=148084
xiao dian 	小點	c=2 d=1 t=205311
xiao dong wu 	小動物	c=3 d=1.00003 t=145485
xiao du 	消毒	c=1 d=1 t=193916
xiao dui 	校隊	c=2 d=1.99501 t=14182
xiao fei 	消費	c=41 d=1 t=199764
xiao fei guan 	消費觀	c=2 d=1 t=175626
xiao fei zhe 	消費者	c=8 d=1 t=202338
xiao fei zhu yi 	消費主義	c=1 d=1 t=175632
xiao feng 	曉峯	c=13 d=2.16296 t=193414
xiao fu 	小幅	c=1 d=1 t=41470
xiao fu 	校服	c=1 d=1 t=151642
xiao ge 	小哥	c=4 d=1.80252 t=114969
xiao guo 	效果	c=301 d=2.12634 t=204898
xiao guo de 	效果的	c=3 d=1 t=187207
xiao guo hao 	效果好	c=3 d=1.00053 t=143740
xiao guo shi 	效果是	c=1 d=1 t=203573
xiao hai 	小孩	c=2 d=1 t=149170
xiao hao 	消耗	c=8 d=1 t=153873
xiao hao zai 	消耗在	c=1 d=1 t=123418
xiao he 	小鶴	c=12 d=1 t=134301
xiao he shuang pin 	小鶴雙拼	c=1 d=0.000614317 t=4073
xiao hei he 	小黑盒	c=1 d=1 t=94399
xiao hu 	小虎	c=2 d=1 t=114650
xiao hua 	消化	c=1 d=1 t=103798
xiao hua 	笑話	c=1 d=1 t=174170
xiao huo ban 	小夥伴	c=1 d=1 t=18786
xiao jie 	小結	c=2 d=1.39259 t=57701
xiao lang hao 	小狼毫	c=1 d=0.00231117 t=4073
xiao li 	效力	c=3 d=1 t=168734
xiao liang 	銷量	c=3 d=1 t=143423
xiao liu liang 	小流量	c=3 d=1 t=171326
xiao long 	小龍	c=4 d=2.89299 t=205540
xiao lu 	小路	c=1 d=1 t=81041
xiao lun wen 	小論文	c=1 d=1 t=20689
xiao lv 	效率	c=58 d=1.01366 t=199321
xiao lv tai gao 	效率太高	c=1 d=1 t=198505
xiao ma 	小馬	c=5 d=1.99501 t=47877
xiao mao 	小貓	c=1 d=1 t=195621
xiao mi 	小米	c=29 d=1 t=206593
xiao mi 	小蜜	c=1 d=1 t=59525
xiao mo shi 	小模式	c=1 d=1 t=67879
xiao na 	小娜	c=1 d=1 t=52631
xiao neng 	效能	c=1 d=1 t=26424
xiao piao 	小票	c=1 d=1 t=172922
xiao pin 	小品	c=1 d=1 t=100889
xiao qiang 	小強	c=3 d=1 t=71839
xiao qiao 	小巧	c=1 d=1 t=166679
xiao qing 	校慶	c=1 d=1 t=61524
xiao qu 	小區	c=15 d=1 t=185355
xiao qu 	校區	c=2 d=1.9802 t=139490
xiao qun 	小羣	c=1 d=1 t=68822
xiao ren 	小人	c=1 d=1 t=98823
xiao sheng 	笑聲	c=1 d=1 t=10173
xiao shi 	小時	c=105 d=1 t=205917
xiao shi 	消失	c=18 d=1.41271 t=200161
xiao shi 	硝石	c=1 d=1 t=95070
xiao shi chan chu 	小時產出	c=1 d=1 t=152722
xiao shi ma 	小時嗎	c=1 d=1 t=27504
xiao shi zhi hou 	小時之後	c=1 d=1 t=193333
xiao shou 	銷售	c=3 d=1.79453 t=97534
xiao shu 	小數	c=1 d=1 t=185985
xiao shuo 	小說	c=15 d=8.83396 t=127385
xiao tu dao 	小土刀	c=3 d=2.80067 t=62713
xiao xi 	消息	c=28 d=1.00145 t=205856
xiao xiang 	瀟湘	c=4 d=1 t=181854
xiao xiao 	小小	c=1 d=1 t=65487
xiao xiao 	笑笑	c=2 d=1.99501 t=97412
xiao xin 	小心	c=5 d=1 t=161898
xiao xing 	小型	c=1 d=1 t=90811
xiao xue 	小學	c=14 d=6.45437 t=139607
xiao xun 	校訓	c=4 d=3.53475 t=74493
xiao yang 	小楊	c=1 d=1 t=21547
xiao ye 	小野	c=1 d=1 t=42148
xiao yi xiao 	笑一笑	c=1 d=1 t=99690
xiao ying 	效應	c=10 d=1 t=202403
xiao yong 	效用	c=1 d=1 t=17376
xiao you 	校友	c=2 d=1 t=72393
xiao yu 	小於	c=34 d=1.00011 t=204125
xiao yu 	小羽	c=1 d=1 t=114311
xiao yuan 	校園	c=9 d=1.9802 t=90261
xiao yuan ka 	校園卡	c=5 d=1.20023 t=6181
xiao zhang 	囂張	c=1 d=1 t=69563
xiao zhang 	校長	c=2 d=1 t=84017
xiao zhen 	小鎮	c=1 d=1 t=139629
xiao zhong 	小衆	c=5 d=1 t=159969
xiao zhu 	小豬	c=1 d=1 t=127906
xiao zhun 	校準	c=3 d=1.7788 t=195938
xiao zu 	小組	c=4 d=1 t=132930
xiao zuo wen 	小作文	c=2 d=1 t=108834
xie 	些	c=29 d=1 t=200181
xie 	協	c=1 d=1 t=138681
xie 	寫	c=430 d=1.00002 t=206160
xie 	蠍	c=1 d=1 t=172675
xie 	謝	c=14 d=1.96079 t=200197
xie 	鞋	c=5 d=1 t=85175
xie ba 	寫吧	c=1 d=1 t=139052
xie cheng 	寫成	c=13 d=1 t=183409
xie cheng 	攜程	c=1 d=1 t=83093
xie chu 	寫出	c=8 d=1 t=197247
xie chu lai 	寫出來	c=4 d=0.1 t=198529
xie chu lai de 	寫出來的	c=1 d=1 t=198530
xie cuo 	寫錯	c=5 d=0.1 t=197758
xie cuo le 	寫錯了	c=1 d=1 t=197759
xie dai 	攜帶	c=4 d=1 t=192322
xie dao 	寫到	c=12 d=1 t=196018
xie de 	寫得	c=1 d=1 t=62139
xie de 	寫的	c=31 d=1.0001 t=204864
xie dian 	寫點	c=3 d=0.1 t=205009
xie fa 	寫法	c=1 d=1 t=17858
xie ge 	寫個	c=1 d=1 t=64492
xie guo 	寫過	c=5 d=0.1 t=190660
xie hao 	寫好	c=1 d=1 t=80189
xie hou 	邂逅	c=1 d=1 t=4140
xie hui 	協會	c=1 d=1 t=10003
xie jin 	寫進	c=3 d=1 t=83228
xie lou 	泄漏	c=6 d=1 t=149196
xie lv 	斜率	c=4 d=1.99501 t=202280
xie pian 	寫篇	c=1 d=1 t=103913
xie qi lai 	寫起來	c=3 d=1 t=185015
xie ru 	寫入	c=5 d=1 t=180615
xie shang 	協商	c=1 d=1 t=137267
xie shang 	寫上	c=1 d=1 t=176121
xie shang qu 	寫上去	c=2 d=1 t=132657
xie shen me 	些什麼	c=1 d=1 t=30420
xie sheng 	寫生	c=1 d=1 t=62402
xie tiao 	協調	c=2 d=1 t=163897
xie tong 	協同	c=5 d=1.00195 t=199791
xie tong guo lv 	協同過濾	c=1 d=1 t=148395
xie wan 	寫完	c=15 d=1 t=193941
xie xia 	寫下	c=2 d=1 t=176214
xie xie 	謝謝	c=34 d=1 t=201717
xie xing 	偕行	c=2 d=1.93239 t=74449
xie yi 	協議	c=1 d=1 t=107787
xie yi bian 	寫一遍	c=1 d=1 t=191546
xie yi ge 	寫一個	c=1 d=1 t=204444
xie yi xia 	寫一下	c=1 d=0.1 t=200102
xie yi xia zhe ge 	寫一下這個	c=1 d=1 t=200103
xie zai 	卸載	c=2 d=1 t=156335
xie zai 	寫在	c=18 d=0.1 t=197503
xie zhao 	寫照	c=1 d=1 t=49825
xie zhe 	寫着	c=1 d=1 t=110226
xie zuo 	協作	c=7 d=1 t=191454
xie zuo 	寫作	c=59 d=0.1 t=200114
xie zuo de 	寫作的	c=1 d=1 t=200115
xin 	信	c=9 d=1 t=170081
xin 	心	c=35 d=1.01108 t=199383
xin 	新	c=341 d=1.30505 t=206168
xin 	昕	c=4 d=1 t=74520
xin 	欣	c=18 d=1 t=190040
xin 	辛	c=1 d=1 t=179143
xin 	鑫	c=18 d=1 t=204734
xin 	馨	c=16 d=1 t=204012
xin ai 	心愛	c=1 d=1 t=163142
xin ban 	新版	c=5 d=1 t=104505
xin ban ben 	新版本	c=3 d=1.76721 t=199197
xin bu xin 	信不信	c=1 d=1 t=15541
xin chu xian 	新出現	c=1 d=0.1 t=137197
xin chu xian de 	新出現的	c=1 d=1 t=137198
xin chun 	新春	c=2 d=1.0382 t=115840
xin de 	心得	c=1 d=1 t=54269
xin de 	新的	c=58 d=1.29082 t=206231
xin dong 	心動	c=1 d=1 t=71525
xin dong fang 	新東方	c=1 d=1 t=169840
xin fa bu 	新發佈	c=1 d=1 t=195045
xin fang an 	新方案	c=1 d=1 t=148963
xin fang fa 	新方法	c=2 d=1 t=74502
xin fu 	信服	c=1 d=1 t=103440
xin fu kou fu 	心服口服	c=1 d=1 t=43360
xin gai 	新改	c=1 d=1 t=146655
xin gai nian 	新概念	c=1 d=1 t=169827
xin gao 	新高	c=1 d=1 t=150999
xin ge 	新歌	c=1 d=1 t=44518
xin gong zuo 	新工作	c=1 d=1 t=169062
xin hao 	信號	c=3 d=1 t=163714
xin jia 	新加	c=4 d=0.1 t=198890
xin jia de 	新加的	c=1 d=1 t=198891
xin jia po 	新加坡	c=1 d=1 t=106197
xin jian 	新建	c=12 d=1 t=203438
xin jing ru shui 	心靜如水	c=1 d=1 t=76286
xin jiu 	新舊	c=5 d=1 t=139277
xin ka 	新卡	c=1 d=1 t=49740
xin kai 	新開	c=2 d=1.00019 t=152807
xin kan 	心坎	c=1 d=1 t=128466
xin ku 	辛苦	c=7 d=1.01708 t=190258
xin kuan 	新款	c=1 d=1 t=5833
xin lai 	心來	c=1 d=1 t=144746
xin lang 	新浪	c=6 d=1 t=137480
xin lao 	新老	c=1 d=1 t=176886
xin le 	新樂	c=1 d=1 t=165168
xin li 	心理	c=8 d=1 t=191639
xin li 	心裏	c=1 d=1 t=9879
xin li xue 	心理學	c=7 d=1 t=205472
xin ling 	心靈	c=1 d=0.0280154 t=4073
xin lv 	心率	c=3 d=1 t=7090
xin mo xing 	新模型	c=2 d=1 t=136827
xin mu 	心目	c=1 d=1 t=36599
xin mu zhong 	心目中	c=1 d=1 t=89948
xin neng 	新能	c=1 d=1 t=142654
xin nian 	新年	c=4 d=2.83236 t=89881
xin pian 	芯片	c=1 d=1 t=26071
xin pu sen 	辛普森	c=3 d=2.75339 t=104127
xin qi 	新奇	c=2 d=1 t=157562
xin qing 	心情	c=6 d=1.90032 t=164759
xin qun 	新羣	c=1 d=1 t=201586
xin ren 	信任	c=2 d=1.96561 t=169024
xin ren 	新人	c=8 d=1 t=124648
xin rui 	新銳	c=5 d=1.00204 t=40247
xin shang 	新上	c=1 d=1 t=171031
xin shang 	欣賞	c=2 d=1 t=64475
xin sheng 	新生	c=1 d=1 t=179148
xin shi jie 	新世界	c=1 d=1 t=98746
xin shou 	新手	c=11 d=1.0476 t=98014
xin shou cun 	新手村	c=2 d=1.87372 t=45493
xin shu 	新書	c=1 d=1 t=135589
xin shu ju 	新數據	c=1 d=1 t=39048
xin tai 	心態	c=2 d=1 t=167287
xin tai bi 	新臺幣	c=2 d=1.99501 t=77035
xin teng 	心疼	c=1 d=1 t=90190
xin tian jia 	新添加	c=1 d=1 t=102526
xin tong 	心痛	c=5 d=1 t=198297
xin wen 	新聞	c=38 d=1 t=178033
xin xi 	信息	c=269 d=1.00262 t=205716
xin xi 	心繫	c=1 d=1 t=105660
xin xi guan li 	信息管理	c=1 d=1 t=148998
xin xi hua 	信息化	c=2 d=1.86502 t=13523
xin xi liu 	信息流	c=2 d=1 t=139764
xin xian 	新鮮	c=7 d=1 t=206140
xin xing 	新型	c=2 d=1 t=147868
